Date,binance,coindcx,bitforex,upbit,bitrue,nami_exchange,okex,b2bx,lbank,gdax,mxc,digifinex,gate,pionex,kucoin,bitget,uniswap_v3,bybit_spot,xt,hitbtc,bitmart,bione,bitcoin_com,bkex,whitebit,btse,huobi,dcoin,kraken,biconomy,bullish_com,changelly,bingx,cointr,azbit,tidex,binance_us,coinstore,coinsbit,p2pb2b
2023-04-11,9228966689.17569,5014551018.379545,2352581971.845102,1699423688.8801324,1353021770.871061,1102153773.1637166,931923091.3428768,28059848.66087017,1038876609.2575618,1020545411.52501,927441002.819205,420442882.7187168,888706669.885772,435413697.5915759,564774000.8509972,473773779.3931128,404149675.80769366,565322803.2128193,745199411.4399346,535465855.11991936,881729365.0443207,395563110.4363369,526390506.4508279,759280258.2045121,816061135.6860237,571477966.7592515,514341204.5576685,400689868.2063344,561050759.105804,630396333.2590526,257839817.9434422,405505818.0473644,409073747.3872885,494383020.4203172,368682258.6457455,403850966.4405061,450563938.0565886,508596874.2032769,311955592.2781254,183199106.0779387
2023-04-12,11677848230.393398,5043306947.538608,2367828069.822055,1863607857.0403104,1639449830.0727315,1603246330.1227648,1358861071.9369235,20477073.466495145,1488156903.3266704,1509842647.0595262,1332920172.3991332,546825124.4423089,1057996446.6352396,541585555.9327297,798085417.9371053,692658569.4754567,604447360.0231842,739205886.6125599,881877240.3226362,774567293.7502038,943871973.2839324,736539517.6594383,753117968.7449766,387919858.7305116,699367674.0626048,546956307.7827237,531301925.6859813,532464394.175744,850965112.9593358,691111953.8782511,385501025.8421002,610538153.3508923,598903979.2679635,612892866.0441962,373005936.4796943,549400175.9869413,688492250.147071,470803465.3439092,426001479.0069637,237165964.6796312
2023-04-13,11455517154.41041,5155116715.134645,2519845930.0014133,2107643560.9790604,1690212045.5716903,1957813410.3790464,1326812211.55634,15756944.37651892,1460000077.195045,1424937418.2779648,1138629880.6239376,655721506.1286204,1105081249.8592448,606258872.8374735,769424749.4213327,677460969.0686202,684146639.072167,674335279.0302036,892174478.8748949,759004719.8522527,852463660.5237687,691957891.9544106,725012076.781475,1153905121.9371245,614309637.395959,405039578.8535493,553801181.8814046,544232585.252714,663344500.3046341,642299134.9166923,348107973.9400488,568910001.127535,518191272.802831,624789807.7995334,371887633.7383391,546018129.4888414,571294142.3816264,445802252.0253167,402109116.2954809,266169448.88486788
2023-04-14,10878971408.219038,5252086179.059609,2724978733.859654,1304084791.0860152,1588422266.164803,1382743538.0707836,1217160690.2142973,14778037.00819754,1462993139.7179172,1442858922.5046418,1118201246.8435757,597719485.342035,1244222261.544583,730797189.7341287,702995981.325014,712443037.7838085,899502629.7840229,677022408.0595015,938308880.008769,683102220.7862048,837207831.9609084,672698746.5769109,652730934.6216345,836825276.639829,605152364.7735163,424013626.5046072,512010168.7827635,531669635.1438071,620641455.8844889,607461147.615662,364844129.1623979,523251262.6419212,490230169.8902088,622587828.07081,380144334.33768255,524770062.93692297,618482506.5198541,489529108.6924154,394216038.2064012,302201579.9400445
2023-04-15,15817764923.89027,5417503493.611474,3348371705.09156,1937525280.4179688,2154253808.906885,1793181295.7648237,2148511816.8323274,19643538.7813792,1488795927.7757192,2209220426.783594,879818880.7914226,945262948.8784144,1839775491.193068,1081427297.9615211,1089301484.674969,829983560.7424828,1227216978.0490592,1096719380.5795789,1277081066.3227313,893566844.3191081,1162061158.4814854,1002373377.675904,853923192.668016,586703574.4218521,1080526140.0768254,446241833.5992678,611185876.1200184,652724833.9600004,793101044.3616629,705371363.9890764,568351028.4881986,660114170.3716712,678501690.857074,838242204.9370503,389131327.3666698,714551081.2140886,831840182.6563509,532237181.8355149,533090196.3558376,415795132.41173553
2023-04-16,8238395309.125036,5156437655.082005,2653138643.502659,1198202720.1040509,1296144814.2138038,1173097434.7762551,972478371.2426852,7789386.3999607535,1362327721.930244,887237479.2146536,939156847.2856666,437440702.3262993,939104755.611789,369083068.788954,619153740.1859674,732045507.7023393,584649601.330536,471215979.80224544,732227569.3600836,543291618.0235269,450107235.4988319,478386693.8571327,514544595.4747871,502484234.94340926,340493263.3125567,431081784.8169637,412710429.6827999,379982008.00896543,264394668.69668323,505716124.9643658,175730223.82393214,369436286.89015263,384586125.7394387,415444144.6270714,391677727.9198101,303576477.15178615,373934282.92903066,445319611.9794868,236117922.45675683,183472232.79573816
2023-04-17,8615890948.829561,3883838713.138397,2999146360.6337004,1133161866.3605163,1353051003.9482815,864091451.936818,949725891.2847408,15508980.223758832,1126293637.2101989,891425506.144714,686699841.4793897,462127434.7332888,965135055.3298516,366007889.06324905,611939288.0455376,576160895.3657829,543532730.0059637,496908262.7187641,597546687.3146838,444082716.3683956,474725088.69890416,560288301.4110969,422676156.3230416,520944042.5536678,397899470.0846484,408967549.1954584,466799884.4511605,374225056.17342895,264041887.7069488,510175360.7372525,192427084.69965097,280183439.2956988,383475250.0579978,391874134.8935766,398553155.1417509,319980989.3108363,374723269.4489648,426059173.8355928,250733050.9656906,186348919.33743328
2023-04-18,12138945849.361237,6166863060.362479,2779445409.002248,1719755465.2058566,1722336061.554139,1216508186.2536669,1258153742.6875503,26307003.116030443,1150166773.2419877,1471142798.7415705,839941276.661794,610502064.0072716,1148221821.9082596,657490679.6844211,866738086.0806206,631263462.6043285,765285709.964514,693790371.6542753,684455854.022019,704116599.2659178,898246443.8311757,745794155.5504708,660201844.6746469,783067405.6292179,555076731.5915272,477135526.39590245,526367658.8314725,485979375.4871176,602532904.3941787,602173047.9400309,339010890.9149282,480513901.5583549,532515717.313376,612013228.0455073,399647580.4104586,511568403.1724713,573412518.0601256,420694033.1216906,363024818.1170046,261294452.784318
2023-04-19,11894074738.878838,5306701735.101573,2744791916.8360267,1630809745.1045578,1747257612.0892866,1550804183.4201837,1184220394.3408566,15015214.18268812,1182743717.7672625,1337057490.5654545,1045846082.2720032,612911934.4155116,969460344.1888174,687556923.900969,800422438.3466289,612895624.1865977,623664594.764876,700914617.647373,646207938.657515,618467824.2559966,810258018.7685298,668645234.9718435,578123321.6324604,751646143.9104341,589766457.646481,548961440.712927,537844061.4514796,502953924.39746207,692008623.280031,643741138.5437864,348411560.4780799,421126041.5675172,548205995.7097058,670544122.6926354,386816415.98216605,479900252.2652924,574099799.4855673,426088175.6457978,377702279.8472698,259376757.68872333
2023-04-20,14409665487.43114,7564849003.205935,3091978816.6408777,1762653514.4794774,1880677265.3663263,2696588565.643892,2208682411.3904023,21977654.093461502,1163434315.97916,1988000258.1778443,1258814405.7199018,916577394.502992,1222336534.9894068,960878439.4005188,1104384509.7865496,817058802.6738268,880940640.5523134,940522585.0459068,722296436.5741737,894584449.14439,1430953530.295694,1008052190.1041664,827087525.8421354,898009168.2332196,926220761.7947494,730081293.9548312,653191187.0048653,643265337.4250396,831407395.8879721,676792271.0401776,748636177.3503442,633971058.9591173,712187619.8502502,603664722.4666575,390969152.5889392,691279636.9123719,748845102.6609458,367262791.7596713,496313837.7563925,341658983.75953054
